Workplace Example,Element Name,Hot Technology,In Demand
Image capture and analysis software,Analytical or scientific software,N,N
Image capture software,Analytical or scientific software,N,N
Image databases,Data base user interface and query software,N,N
Image editing software,Graphics or photo imaging software,N,N
Image enhancement software,Graphics or photo imaging software,N,N
Image exchange networks,Graphics or photo imaging software,N,N
Image management software,Graphics or photo imaging software,N,N
Image processing software,Graphics or photo imaging software,N,N
Image processing systems,Graphics or photo imaging software,N,N
Image processors,Analytical or scientific software,N,N
Image replacement document IRD printing software,Graphics or photo imaging software,N,N
Image scanning software,Optical character reader OCR or scanning software,N,N
Image-Line FL Studio,Music or sound editing software,N,N
Image-guided surgery software,Medical software,N,N
ImageJ,Graphics or photo imaging software,N,N
ImageWave MSDSFinder,Data base user interface and query software,N,N
Imagine Software Imagine Trading System,Desktop communications software,N,N
Imagine That Extend OR,Analytical or scientific software,N,N
Imaging software,Graphics or photo imaging software,N,N
Immigrant Software Immigrant Professional,Document management software,N,N
Impact PlanLabX3,Financial analysis software,N,N
Imperva SecureSphere,Network security and virtual private network VPN equipment software,N,N
Impro-Visor,Music or sound editing software,N,N
ImproMed Infinity,Medical software,N,N
In-Hand Pocket APOD,Financial analysis software,N,N
InLoox,Project management software,N,N
InPhase Technologies Group InPhase Concept,Enterprise resource planning ERP software,N,N
InScribe,Computer based training software,N,N
InStar Orion,Customer relationship management CRM software,N,N
InSystems Calligo Document Management System,Document management software,N,N
InSystems Calligo Enterprise,Document management software,N,N
InVision software,Process mapping and design software,N,N
Incentive management system software,Human resources software,N,N
Inception Technologies InfiniTime,Human resources software,N,N
Incident command system ICS software,Project management software,N,N
Incident tracking software,Data base user interface and query software,N,N
Income tax return preparation software,Tax preparation software,N,N
Incremental compiler software,Compiler and decompiler software,N,N
Index tuning software,Data base management system software,N,N
Indigo Renderer,Graphics or photo imaging software,N,N
Individualized Educational Program IEP software,Data base user interface and query software,N,N
Indus Lending Solutions,Financial analysis software,N,N
Industrial Code Recruitpoint.net,Human resources software,N,N
Industrial Scientific iNET,Industrial control software,N,N
Industrial control systems software,Industrial control software,N,N
Industrial job assessment software,Analytical or scientific software,N,N
Industrial production manager and stock control software,Industrial control software,N,N
IndySoft Gage InSite Enterprise,Analytical or scientific software,N,N
Inetsoft,Data base reporting software,N,N
InferMed MACRO Electronic Data Capture,Analytical or scientific software,N,N
Infinite Radiology Opal-RAD,Medical software,N,N
Infinity CAD Systems AutoSculpt,Computer aided design CAD software,N,N
Infinity QS ProFicient,Industrial control software,N,N
InfinityHR,Human resources software,N,N
InfoLogix HealthTrax Engine,Inventory management software,N,N
Infoblox NetMRI,Network operating system enhancement software,N,N
Infoblox security and networking software,Administration software,N,N
Infobright Community Edition ICE,Analytical or scientific software,N,N
Infocom JACS,Calendar and scheduling software,N,N
Infocorp Computer Solutions $mart System,Point of sale POS software,N,N
Infocorp Softwear/POS,Point of sale POS software,N,N
Infor ERP Baan,Enterprise resource planning ERP software,N,N
Infor ERP SyteLine,Enterprise resource planning ERP software,N,N
Infor ERP Visual,Enterprise resource planning ERP software,N,N
Infor Global Solutions Starbuilder,Accounting software,N,N
Infor Global Solutions eSITE,Data base user interface and query software,N,N
Infor Industrial Essentials,Enterprise resource planning ERP software,N,N
Infor Lawson Supply Chain Management,Materials requirements planning logistics and supply chain software,N,N
Infor SCM,Materials requirements planning logistics and supply chain software,N,N
Infor SSA Human Capital Management,Human resources software,N,N
Infor Supply Chain Management,Materials requirements planning logistics and supply chain software,N,N
Infor XA,Enterprise resource planning ERP software,N,N
InforSense InforSense,Data base user interface and query software,N,N
InformaVet ALIS-VET,Medical software,N,N
Informatica Big Data,Data base management system software,N,N
Informatica Corporation PowerCenter,Metadata management software,N,N
Informatica Data Explorer,Data mining software,N,N
Informatica PowerCenter,Metadata management software,N,N
Informatica software,Metadata management software,Y,Y
Informatik MapDraw Deed Mapper,Map creation software,N,N
Information Builders WebFOCUS,Data base reporting software,N,N
Information Resource Products Clinical Coding Expert,Expert system software,N,N
Information Services Inc. CCC Pathways Appraisal Solution,Data base user interface and query software,N,N
Information Technology Incorporated Premier Teller,Accounting software,N,N
Information management subsystem software,Medical software,N,N
Information presentation software,Presentation software,N,N
Information systems integration software,Information retrieval or search software,N,N
InformationActive ActiveData for Excel,Financial analysis software,N,N
Informed EMS Field Guide,Information retrieval or search software,N,N
Infosite Technologies DM Warehousing,Inventory management software,N,N
Infosite Technologies Dispatch-Mate,Materials requirements planning logistics and supply chain software,N,N
Infospectrum Quick Insure,Customer relationship management CRM software,N,N
Infostat RIMBase,Data base user interface and query software,N,N
Infotronics Attendance Enterprise,Time accounting software,N,N
Infovision Amlib,Library software,N,N
Infusion management software,Medical software,N,N
Ingenious ProPlan,Materials requirements planning logistics and supply chain software,N,N
Ingenious ProSched,Materials requirements planning logistics and supply chain software,N,N
Ingenuity Systems Ingenuity Pathways Analysis,Analytical or scientific software,N,N
Ingenuware CoronerBase,Data base user interface and query software,N,N
Inivis AC3D,Graphics or photo imaging software,N,N
Injury Sciences EDR InSight,Analytical or scientific software,N,N
Injury tracking software,Data base user interface and query software,N,N
Inkscape,Graphics or photo imaging software,N,N
Inlet Technologies Semaphore,Analytical or scientific software,N,N
Inline code expander software,Compiler and decompiler software,N,N
Inmagic DB/TextWorks,Document management software,N,N
Inmagic Genie,Library software,N,N
Inmagic TextWorks,Data base user interface and query software,N,N
InnQuest Software roomMaster,Facilities management software,N,N
InnQuest roomMaster,Facilities management software,N,N
InnovMetric PolyWorks,Computer aided design CAD software,N,N
Innova Financial Solutions Derivatives Expert,Financial analysis software,N,N
Innovative Business Computer Solutions Spa/Salon Manager,Data base user interface and query software,N,N
Innovative Interfaces Millennium,Library software,N,N
Innovative Software Inn-Soft Office Manager,Medical software,N,N
Innovative Software Solutions Picas,Enterprise resource planning ERP software,N,N
InsideSales.com,Customer relationship management CRM software,N,N
Insight Direct ServiceCEO,Data base user interface and query software,N,N
Insight Software My Vision Express,Medical software,N,N
Insightful Corporation Confirmit,Customer relationship management CRM software,N,N
Insightful S-PLUS,Analytical or scientific software,N,N
Inspection Depot Home Guide System,Word processing software,N,N
Inspection Selection System ISS,Data base user interface and query software,N,N
Inspection management system,Compliance software,N,N
Inspection marking systems,Label making software,N,N
Inspired eLearning iLMS,Computer based training software,N,N
Instagram,Web page creation and editing software,N,N
InstallShield,Configuration management software,N,N
Installalogy Access Client,Data base user interface and query software,N,N
Instructional software,Computer based training software,N,N
Instructure Canvas,Computer based training software,N,N
Instrument control software,Medical software,N,N
Instrument validation software,Medical software,N,N
Insurance Systems WebWriter BackOffice,Customer relationship management CRM software,N,N
Insurance Technologies Corporation InsurancePro,Enterprise resource planning ERP software,N,N
Insurance Technologies ForeSight Enterprise,Customer relationship management CRM software,N,N
Insurance Technology Consultants WOW,Data base user interface and query software,N,N
Insurance analysis software,Financial analysis software,N,N
Insurance claim processing software,Accounting software,N,N
Insurance claims fraud detection software,Analytical or scientific software,N,N
Insurance rating software,Financial analysis software,N,N
Insureware ICRFS-ELRF,Financial analysis software,N,N
Intac International Wintac,Data base user interface and query software,N,N
Intacct ERP,Enterprise resource planning ERP software,N,N
InteLext Past Masters,Data base user interface and query software,N,N
InteProc Material Requirements Planning,Materials requirements planning logistics and supply chain software,N,N
Integra Destiny Loan Origination,Financial analysis software,N,N
Integra Radionics NeuroSight Arc,Medical software,N,N
Integrant DebtLogic,Financial analysis software,N,N
Integrated Automated Fingerprint Identification System IAFIS,Data base user interface and query software,N,N
Integrated Decision Support Corporation Expert Fuel,Materials requirements planning logistics and supply chain software,N,N
Integrated Decision Support Corporation Netwise Supply Chain,Materials requirements planning logistics and supply chain software,N,N
Integrated Decision Support Corporation Route Advice,Route navigation software,N,N
Integrated Decision Support Corporation Swap Advice,Materials requirements planning logistics and supply chain software,N,N
Integrated Decision Support Match Advice,Analytical or scientific software,N,N
Integrated Decision Support Netwise Enterprise,Analytical or scientific software,N,N
Integrated Decision Support Netwise Frontline,Analytical or scientific software,N,N
Integrated Environmental Services 3D Master,Computer aided design CAD software,N,N
Integrated Management Systems Food Connex Cloud,Enterprise resource planning ERP software,N,N
Integrated Parking Solutions MApp,Data base user interface and query software,N,N
Integrated Systems Management OmniMD,Medical software,N,N
Integrated circuit simulation software,Analytical or scientific software,N,N
Integrated construction management software,Data base user interface and query software,N,N
Integrated development environment IDE software,Development environment software,N,N
Integrated materials management systems,Materials requirements planning logistics and supply chain software,N,N
Integration testing software,Program testing software,N,N
Integrity verification software,Network monitoring software,N,N
Intel Data Migration Software,Storage media loading software,N,N
Intel Integrated Performance Primitives,Development environment software,N,N
Intel Math Kernel Library,Analytical or scientific software,N,N
Intelitek spectraCAM Milling,Computer aided manufacturing CAM software,N,N
Intelitek spectraCAM Turning,Computer aided manufacturing CAM software,N,N
Intelius,Human resources software,N,N
Intelladon Enterprise Knowledge Platform EKP,Computer based training software,N,N
IntelliCAD,Computer aided design CAD software,N,N
IntelliPDF CURVES,Document management software,N,N
IntelliTrack 3PL,Materials requirements planning logistics and supply chain software,N,N
IntelliTrack DMS Check In-Out,Inventory management software,N,N
IntelliTrack Warehouse Management System (WMS),Materials requirements planning logistics and supply chain software,N,N
Intelligen SuperPro Designer,Analytical or scientific software,N,N
Intelligent Algorithms InfoGIST Platinum Recruiter,Human resources software,N,N
Intelligent Editing PerfectIt,Word processing software,N,N
Intelligent Imaging Innovations SlideBook,Graphics or photo imaging software,N,N
Intelligent Information Conversion Technologies MeritScholar,Computer based training software,N,N
Intelligrated InControlWare,Materials requirements planning logistics and supply chain software,N,N
Intellimed,Data base user interface and query software,N,N
Intellisense Intellisuite,Analytical or scientific software,N,N
Intellisys Project Desktop,Project management software,N,N
Intellitax financial solutions software,Tax preparation software,N,N
Intellum Rollbook,Computer based training software,N,N
InterEnergy Software Building Energy Analyzer PRO,Analytical or scientific software,N,N
InterMine,Data base management system software,N,N
Intera Systems Hawk-i,Computer aided manufacturing CAM software,N,N
InteractElsevier Netter's 3D Interactive Anatomy,Medical software,N,N
Interactive Mathematical Proof System IMPS,Analytical or scientific software,N,N
Interactive learning software,Multi-media educational software,N,N
Interactive psychological evaluation software,Medical software,N,N
Interactive radar analysis software IRAS,Analytical or scientific software,N,N
Interconsult Brann G-JET,Analytical or scientific software,N,N
Interface Computers Data Loader,Metadata management software,N,N
Interface definition language IDL,Development environment software,N,N
Intergraph GeoMedia Transportation Manager,Route navigation software,N,N
Intergraph INtools,Computer aided design CAD software,N,N
Intergraph Image Analyst,Graphics or photo imaging software,N,N
Intergraph ImageStation Stereo Softcopy Kit SSK,Map creation software,N,N
Intergraph MGE,Map creation software,N,N
Intergraph Plant Design System PDS,Computer aided design CAD software,N,N
Intergraph SmartMarine 3D,Computer aided design CAD software,N,N
Interlock shutdown systems,Industrial control software,N,N
Intermediate System to Intermediate System IS-IS,Switch or router software,N,N
Internal audit software,Financial analysis software,N,N
International Centre for Diffraction Data ICDD DDView,Data base user interface and query software,N,N
International Material Data System IMDS,Data base user interface and query software,N,N
International Response Technologies CowChip - Ranch House,Enterprise resource planning ERP software,N,N
International TechneGroup IGESworks,Computer aided design CAD software,N,N
Internet Grievance System IGS,Human resources software,N,N
Internet Protocol Security IPSEC,Network security or virtual private network VPN management software,N,N
Internet Protocol Television Systems,Internet protocol IP multimedia subsystem software,N,N
Internet based MLS database software,Data base reporting software,N,N
Internet or intranet image distribution software,Medical software,N,N
Internet search engine software,Information retrieval or search software,N,N
Interoperability testing software,Program testing software,N,N
Interpex IXID,Analytical or scientific software,N,N
Interpreter software,Compiler and decompiler software,N,N
Interstate connection ICON,Development environment software,N,N
Interstudio Geo-Tec B,Analytical or scientific software,N,N
Interuniversity Consortium for Political and Social Research (ICPSR) database,Data base user interface and query software,N,N
Interviewer software,Data base user interface and query software,N,N
Interwave Technology RS Bizware Scheduler,Materials requirements planning logistics and supply chain software,N,N
Interwoven RecordsManager,Document management software,N,N
Interwoven software,Document management software,N,N
Intland Software codeBeamer,Project management software,N,N
IntraVet,Medical software,N,N
Intrado SchoolMessenger,Mobile messaging service software,N,N
Intrax ProcedureNet,Compliance software,N,N
Intrusion detection system IDS,Network security or virtual private network VPN management software,N,N
Intrusion prevention system IPS,Network security or virtual private network VPN management software,N,N
Intuit Lacerte,Tax preparation software,N,N
Intuit MRI Residential,Data base user interface and query software,N,N
Intuit ProSeries,Tax preparation software,N,N
Intuit QuickBooks,Accounting software,Y,N
Intuit QuickBooks Point of Sale,Point of sale POS software,N,N
Intuit QuickBoooks Payments,Point of sale POS software,N,N
Intuit TurboTax,Tax preparation software,Y,N
Intusoft ICAP,Analytical or scientific software,N,N
Inventory control software,Inventory management software,N,N
Inventory control system software,Inventory management software,N,N
Inventory control systems,Inventory management software,N,N
Inventory management systems,Inventory management software,N,N
Inventory software,Inventory management software,N,N
Inventory tracking software,Inventory management software,N,N
Inventrix Labtrac,Data base user interface and query software,N,N
Investigation management software,Project management software,N,N
Investigo,Customer relationship management CRM software,N,N
Investment and business valuation template software,Financial analysis software,N,N
Investment tracking software,Financial analysis software,N,N
Invicti Acunetix,Transaction security and virus protection software,N,N
Invivo Data EPX ePRO Management System,Data base user interface and query software,N,N
Invoice software,Billing and invoicing software,N,N
IpFilter,Network security and virtual private network VPN equipment software,N,N
IpTables,Network security and virtual private network VPN equipment software,N,N
Ipswitch WhatsUp Gold,Network monitoring software,N,N
Iptor Supply Chain,Inventory management software,N,N
Iron Mountain Accutrac records management software,Document management software,N,N
IronCAD,Computer aided design CAD software,N,N
Iseemedia Photovista Panorama,Graphics or photo imaging software,N,N
Isograph FaultTree,Analytical or scientific software,N,N
Isograph Markov,Analytical or scientific software,N,N
Issue tracking system software,Data base user interface and query software,N,N
ItemTracker,Inventory management software,N,N
Iteris Turbo Architecture,Analytical or scientific software,N,N
Iterum eMedic,Information retrieval or search software,N,N
Itron Enterprise Energy Management EEM Suite,Analytical or scientific software,N,N
Ivorix Neurostrategy Finance,Expert system software,N,N
J,Development environment software,N,N
J&L Financial Planner,Financial analysis software,N,N
JACAL,Analytical or scientific software,N,N
JAMAR Technologies PETRAPro,Analytical or scientific software,N,N
JDA Arthur KnowledgeBase database,Data base user interface and query software,N,N
JDA Manugistics,Materials requirements planning logistics and supply chain software,N,N
JDA Master Planning,Materials requirements planning logistics and supply chain software,N,N
JDA Software Group Advanced Warehouse Replenishment by E3,Enterprise resource planning ERP software,N,N
JDA Software Group Assortment Planning by Arthur,Enterprise resource planning ERP software,N,N
JET,Analytical or scientific software,N,N
JETCAM,Computer aided manufacturing CAM software,N,N
JETCAM Expert,Computer aided manufacturing CAM software,N,N
JFrog Artifactory,Development environment software,N,N
JHDL,Object or component oriented development software,N,N
JMS Software RCM WorkSaver,Analytical or scientific software,N,N
JRC navigation software,Route navigation software,N,N
JRP Consulting Plant Wizard,Data base user interface and query software,N,N
JRP Consulting Survey Wizard,Data base user interface and query software,N,N
JSTOR database,Information retrieval or search software,N,N
JTL Enterprises MedIntake,Medical software,N,N
JUnit,Program testing software,Y,N
JaMBW,Analytical or scientific software,N,N
Jack Henry & Associates Vertex,Enterprise resource planning ERP software,N,N
Jackbeat,Music or sound editing software,N,N
Jackrabbit Technologies Jackrabbit Care,Enterprise resource planning ERP software,N,N
Jail management software,Data base user interface and query software,N,N
JamBoard,Graphics or photo imaging software,N,N
James Frazier Associates DataStart,Medical software,N,N
Jantek Electronics Jupiter Time & Attendance,Time accounting software,N,N
Jantek Jupiter Time Attendance,Time accounting software,N,N
Jaspersoft Business Intelligence Suite,Business intelligence and data analysis software,N,N
JavaScript,Web platform development software,Y,N
JavaScript Object Notation JSON,Web platform development software,Y,N
JavaScript framework software,Web platform development software,N,N
Javamin Composer,Music or sound editing software,N,N
Jekyll,Web platform development software,N,N
Jenark Business Systems,Data base user interface and query software,N,N
Jenkins CI,Enterprise application integration software,Y,Y
Jenmar International DL-Plus,Data base user interface and query software,N,N
Jenss & Associates CompKeeper,Human resources software,N,N
Jenzabar ERP,Enterprise resource planning ERP software,N,N
Jenzabar EX,Enterprise resource planning ERP software,N,N
Jeppesen Marine Nobeltec Admiral,Route navigation software,N,N
JessX stock simulator software,Financial analysis software,N,N
Jest,Program testing software,N,N
JetBrains IntelliJ IDEA,Development environment software,N,N
JetBrains PhpStorm,Web platform development software,N,N
JetBrains Team City,Development environment software,N,N
Jewelry design software,Computer aided design CAD software,N,N
Jewelry store point of sale POS software,Point of sale POS software,N,N
Jitterbit,Cloud-based management software,N,N
Job control language JCL,Operating system software,N,N
Job costing software,Accounting software,N,N
Job posting software,Human resources software,N,N
Job scheduling software,Calendar and scheduling software,N,N
Job tracking software,Project management software,N,N
JobBOSS,Enterprise resource planning ERP software,N,N
JobPack MES Scheduler,Materials requirements planning logistics and supply chain software,N,N
Jobber Computer Plus,Analytical or scientific software,N,N
John Deere Apex Farm Management,Data base user interface and query software,N,N
John Hesselberth and Ron Roy GlazeMaster,Analytical or scientific software,N,N
Johnson Controls Metasys,Facilities management software,N,N
Joint Prediction of Operons JPOP,Analytical or scientific software,N,N
Joomla,Web platform development software,N,N
JudgeIt II,Analytical or scientific software,N,N
Julia,Development environment software,N,N
Juniper Networks NetScreen-Security Manager,Network security and virtual private network VPN equipment software,N,N
Juniper Systems LandMark Mobile,Mobile location based services software,N,N
Junxure CRM Software,Customer relationship management CRM software,N,N
Jupyter Notebook,Object or component oriented development software,N,N
Jupyter software,Object or component oriented development software,N,N
Jurek Software Pedigree-Draw,Medical software,N,N
Juris,Data base user interface and query software,N,N
Just So Software The Property Manager,Data base user interface and query software,N,N
Just-in-time compiler,Compiler and decompiler software,N,N
JustBio SeqPainter,Graphics or photo imaging software,N,N
JustSystems XMetaL,Web page creation and editing software,N,N
Justice Systems FullCourt Enterprise,Data base user interface and query software,N,N
K&K Associates Thermal Analysis Kit TAK,Analytical or scientific software,N,N
K2 Business Process Automation,Development environment software,N,N
K9 Bytes K9 Koordinator,Data base user interface and query software,N,N
KANT,Analytical or scientific software,N,N
KAPES,Analytical or scientific software,N,N
KARIO,Analytical or scientific software,N,N
KCD cabinet design software,Computer aided design CAD software,N,N
KE Software EMu,Data base user interface and query software,N,N
KELTEC Systems HerdMaster,Data base user interface and query software,N,N
KEYENCE PLC Ladder Logic,Industrial control software,N,N
KIKA Veracity,Data base user interface and query software,N,N
KLA-Tencor PROLITH,Analytical or scientific software,N,N
KMR software,Analytical or scientific software,N,N
KNMI TurboWin,Data base user interface and query software,N,N
KOffice.org Kplato,Project management software,N,N
KPB Associates TaxStream,Tax preparation software,N,N
KRS Enterprises Service First!,Accounting software,N,N
KSEG,Analytical or scientific software,N,N
KYPipe,Analytical or scientific software,N,N
Kahoot!,Multi-media educational software,N,N
Kali Linux,Program testing software,N,N
Kalido Information Engine,Data base management system software,N,N
Kanoodle,Data base user interface and query software,N,N
Kapwing,Video creation and editing software,N,N
Kareo Practice Management,Medical software,N,N
Katchitek Corporation OrthoManager,Medical software,N,N
Katsura Shareware KS Strobe Tuner,Analytical or scientific software,N,N
Katsura Shareware ProLevel,Analytical or scientific software,N,N
Katsura Shareware SoundFrames,Analytical or scientific software,N,N
KayPENTAX Multi-Speech,Medical software,N,N
KayPENTAX Nasometer,Medical software,N,N
Kea Software impDAT,Medical software,N,N
Keane SCORE,Compliance software,N,N
Keb Combivis Studio,Industrial control software,N,N
Keffer Development Services Athletic Trainer System ATS,Data base user interface and query software,N,N
Kelowna Software L4U,Library software,N,N
Kennel Link,Data base user interface and query software,N,N
Kentech Kipware M CNC,Computer aided manufacturing CAM software,N,N
Kentech Kipware Studio,Computer aided design CAD software,N,N
Kentech Kipware T CNC,Computer aided manufacturing CAM software,N,N
Kentech Kipware Trig Kalculator,Analytical or scientific software,N,N
Kentech Kipware X CNC,Computer aided manufacturing CAM software,N,N
Kentech PROTALK,Information retrieval or search software,N,N
Kentech machine shop software,Analytical or scientific software,N,N
Keras,Operating system software,N,N
Ketogenic planning software,Analytical or scientific software,N,N
Kewill Clippership,Materials requirements planning logistics and supply chain software,N,N
Kewill Compliance Partner,Compliance software,N,N
Kewill Global Trade and Logistics,Materials requirements planning logistics and supply chain software,N,N
Kewill Javelin Distribution Ship,Materials requirements planning logistics and supply chain software,N,N
Keypoint DataDesk,Analytical or scientific software,N,N
Keysight Intuilink Connectivity Software,Platform interconnectivity software,N,N
Keysight Technologies Advanced Design System,Computer aided design CAD software,N,N
Keystroke monitoring software,Network monitoring software,N,N
Kforge,Enterprise system management software,N,N
Khameleon,Project management software,N,N
KiCad,Computer aided design CAD software,N,N
Kidasa Milestones Professional,Project management software,N,N
KinTraks,Data base user interface and query software,N,N
Kinematic Engineering MicroMeasure IV,Industrial control software,N,N
Kirix ProffiPoint,Financial analysis software,N,N
Kismet,Network security and virtual private network VPN equipment software,N,N
Kitty Hawk,Analytical or scientific software,N,N
Klear Estimator,Analytical or scientific software,N,N
Kleinrock Publishing,Financial analysis software,N,N
Kliger-Weiss Infosystems,Materials requirements planning logistics and supply chain software,N,N
Knees Software PT DocTools,Medical software,N,N
Knight BondPoint,Financial analysis software,N,N
Kodak Dental Systems Kodak Cosmetic Imaging Module,Graphics or photo imaging software,N,N
Kodak Dental Systems Kodak ORTHOWARE,Medical software,N,N
Kodak Dental Systems Kodak PRACTICEWORKS Practice management software PMS,Medical software,N,N
Kodak Dental Systems Kodak SOFTDENT Practice management software PMS,Medical software,N,N
KommandCore,Project management software,N,N
Komplete Kontrol,Music or sound editing software,N,N
Kongsberg Maritime K-LOG Electronic Logbooks,Data base user interface and query software,N,N
Kongsberg Maritime K-Log Deck Logbook,Data base user interface and query software,N,N
Kookaburra Studios Knowledge Presenter,Computer based training software,N,N
Korchek Technologies CareChek,Medical software,N,N
Korg EM-1 Editor,Music or sound editing software,N,N
KornShell,Operating system software,N,N
Kotlin,Development environment software,N,N
Kressa Software SchoolLeader,Enterprise resource planning ERP software,N,N
Kronos Enterprise Workforce Management,Enterprise resource planning ERP software,N,N
Kronos Workforce HR,Human resources software,N,N
Kronos Workforce Payroll,Time accounting software,N,N
Kronos Workforce Timekeeper,Time accounting software,Y,N
Kubeflow,Analytical or scientific software,N,N
Kubernetes,Application server software,Y,N
Kubotek CADKEY Wireframe,Computer aided design CAD software,N,N
Kubotek KeyCreator Machinist,Computer aided manufacturing CAM software,N,N
Kubotek USA KeyCreator,Computer aided design CAD software,N,N
Kuder Navigator,Data base user interface and query software,N,N
L-Systems X-ONE,Data base user interface and query software,N,N
LA PRO Loan Administrator Pro,Financial analysis software,N,N
LAB SUM3D,Computer aided manufacturing CAM software,N,N
LAMMPS Molecular Dynamics Simulator,Analytical or scientific software,N,N
LAMP Stack,Web platform development software,N,N
LAPACK,Development environment software,N,N
LIDP Consulting Services The Administrator,Enterprise resource planning ERP software,N,N
LINDO Systems LINDO API,Analytical or scientific software,N,N
LINDO Systems LINGO,Analytical or scientific software,N,N
LINDO Systems optimization modeling software,Analytical or scientific software,N,N
LJI Technologies Lumberjack,Data base user interface and query software,N,N
LMS Imagine.Lab AMESim,Analytical or scientific software,N,N
LOB RetailPoint,Point of sale POS software,N,N
LOGSA COMPASS,Analytical or scientific software,N,N
LOGSA SYSPARS,Analytical or scientific software,N,N
LP360,Analytical or scientific software,N,N
LRN Ethics and Compliance Alliance,Compliance software,N,N
LSA Visual DBR,Materials requirements planning logistics and supply chain software,N,N
LSA Visual Easy Lean,Materials requirements planning logistics and supply chain software,N,N
LT Online Corporation LAWTRAC,Data base user interface and query software,N,N
LUCIA MFISH,Analytical or scientific software,N,N
LaCerte 1040 Tax Analyzer,Tax preparation software,N,N
LaTeX,Desktop publishing software,N,N
LabMagic,Data base user interface and query software,N,N
LabOne NET,Financial analysis software,N,N
LabSoft LabNet,Medical software,N,N
LabTrack Electronic Lab Notebook,Analytical or scientific software,N,N
LabWare LIMS,Analytical or scientific software,N,N
Label inspection systems,Optical character reader OCR or scanning software,N,N
Label printing software,Label making software,N,N
Label-making software,Label making software,N,N
Labeling software,Label making software,N,N
Labelmaster Software REG-Trieve,Data base user interface and query software,N,N
Lablite Laboratory Information Management Systems LIMS,Analytical or scientific software,N,N
LaborSoft LaborForce Arbitration/Appeals Manager module,Human resources software,N,N
LaborSoft LaborForce Discipline Manager module,Human resources software,N,N
LaborSoft LaborForce EEO Claims Manager module,Human resources software,N,N
LaborSoft LaborForce Grievance Manager module,Human resources software,N,N
LaborSoft LaborForce Incident Tracking module,Human resources software,N,N
LaborSoft LaborForce Personnel Manager module,Human resources software,N,N
LaborSoft LaborForce Reporting/Dashboard Manager module,Human resources software,N,N
Laboratory Automated Quality Control Systems LAQC,Industrial control software,N,N
Laboratory Systems Group Lab Manager,Data base user interface and query software,N,N
Laboratory information management system LIMS,Analytical or scientific software,N,N
Laboratory information system LIS,Medical software,N,N
Labvantage Solutions LIMS,Analytical or scientific software,N,N
Ladder Logic,Development environment software,N,N
Lakes Environmental EcoRisk View,Analytical or scientific software,N,N
Lakes Environmental Emissions View,Data base user interface and query software,N,N
Lakes Environmental ISC-AERMOD View,Analytical or scientific software,N,N
Lakes Environmental SLAB View,Analytical or scientific software,N,N
Lakes Environmental Software WRPLOT View,Analytical or scientific software,N,N
Lamar Info Net,Materials requirements planning logistics and supply chain software,N,N
Lambda Research OSLO,Computer aided design CAD software,N,N
Lancaster DHIA PCDART,Data base user interface and query software,N,N
Land & Sea DYNO-MAX,Analytical or scientific software,N,N
Land Software Customer Pro-File,Medical software,N,N
Land management databases,Data base user interface and query software,N,N
LandSerf,Analytical or scientific software,N,N
Landfill gas analysis software,Analytical or scientific software,N,N
Landlord Software Pro Flipper,Financial analysis software,N,N
LandlordMax,Data base user interface and query software,N,N
Landmark Graphics GeoGraphix,Analytical or scientific software,N,N
Landmark Graphics TOW/cs,Data base user interface and query software,N,N
Landmark Sales LOG-istics,Inventory management software,N,N
Landmark SeisWorks,Analytical or scientific software,N,N
Landmark VIP,Analytical or scientific software,N,N
Landport Systems Landport,Data base user interface and query software,N,N
Landscape Management System LMS,Analytical or scientific software,N,N
Landscape modeling software,Graphics or photo imaging software,N,N
Landtec System Software LFG Pro,Analytical or scientific software,N,N
Landtitle USA,Data base user interface and query software,N,N
LangChain,Object or component oriented development software,N,Y
Langlais Computer Consultants CalMan,Data base user interface and query software,N,N
Language Engineering Corporation Translate Pro,Foreign language software,N,N
Language analysis software,Analytical or scientific software,N,N
Language arts educational software,Computer based training software,N,N
Large eddy simulation LES software,Analytical or scientific software,N,N
Laser Substrates PostalXport,Label making software,N,N
Laser imaging detection and ranging LIDAR system,Analytical or scientific software,N,N
LaserSoft Imaging SilverFast Ai Studio,Graphics or photo imaging software,N,N
Laserfiche Avante,Document management software,N,N
Laserfiche Rio,Document management software,N,N
Laserfiche software,Document management software,N,N
Lathem Time PayClock EZ,Time accounting software,N,N
Latitude software,Office suite software,N,N
Lattice MediCopia,Medical software,N,N
Lauriso Software Music Publisher,Music or sound editing software,N,N
Lavalys Everest,Network monitoring software,N,N
Law enforcement database software,Data base user interface and query software,N,N
Law enforcement information databases,Data base user interface and query software,N,N
LawLogix Edge,Data base user interface and query software,N,N
LawManager,Information retrieval or search software,N,N
Lawex TrialWorks,Data base user interface and query software,N,N
Lawson ERP,Enterprise resource planning ERP software,N,N
Lawson Human Resource Management,Human resources software,N,N
Lawson Human Resources Suite,Human resources software,N,N
Lawson S3 Supply Chain Management,Materials requirements planning logistics and supply chain software,N,N
Lead Activity Analyzer,Accounting software,N,N
Lead Business Analyzer,Accounting software,N,N
Leading Market Technologies EXPO,Financial analysis software,N,N
LeanForward LearnPoint,Computer based training software,N,N
Learn HQ Activate LMS,Computer based training software,N,N
Learn.com CourseMaker Studio,Computer based training software,N,N
Learn.com LearnCenter Talent Management Suite,Enterprise resource planning ERP software,N,N
